All event log messages.
Date:	2021-03-04 23:55:55
System Name:	14000-502153
Controller Name:	YUMI-502153
Controller ID :	14000-502153

RobotWare: 6.11.01.00
Key:	 - 
Options:	
	Contact L
	UDPUC Driver
	Leadthrough
	YuMi AbsAcc Recovery
	English
	603-1 Absolute Accuracy
	988-1 RW Add-In Prepared
	613-1 Collision Detection
	709-1 DeviceNet Master/Slave
	841-1 EtherNet/IP Scanner/Adapter
	689-1 Externally Guided Motion (EGM)
	617-1 FlexPendant Interface
	614-1 FTP SFTP and NFS client
	1341-1/1520-1 Integrated Vision Interface
	604-1 MultiMove Coordinated
	623-1 Multitasking
	612-1 Path Offset
	611-1 Path Recovery
	616-1 PC Interface
	688-1 RobotStudio App Connect
	885-1 SoftMove
	608-1 World Zones
	RobotWare Base

DriveModule1
Key:	 - 
Options:	
	Hall Sensor Calibration
	Pendelum Calibration
	Motor Commutation
	Service Info System
	Drive System IRB 14000
	IRB 14000-0.5/0.5
	IRB 14000-0.5/0.5 Type A
	IRB 14000-0.5/0.5 Type A

Additional Options

SmartGripper
Key:	 - 
Options:	
	SmartGripper

YuMiLib
Key:	 - 
Options:	
	YuMiLib

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
140       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:49:28 	A regain movement has started.	{args: "0"}
141       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:49:28 	The regain movement is ready.	{args: "0"}
142       	I   	Operational         	10151   	Program started                         	2021-03-04 20:49:28 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
143       	I   	Operational         	10151   	Program started                         	2021-03-04 20:49:28 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
144       	W   	Motion              	50501   	Short movements                         	2021-03-04 20:49:28 	One or more consecutive move instructions resulted in movements close to zero length.Task: T_ROB_L.Program ref. /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_L", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
145       	E   	Process             	112755  	Hand not calibrated                     	2021-03-04 20:49:29 	Task: T_ROB_LHand_ L is not calibrated. Context:/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0	{args: "T_ROB_L", "L", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
146       	E   	Program             	40229   	Execution error                         	2021-03-04 20:49:29 	Task T_ROB_L: Unhandled error.	{args: "T_ROB_L", "55"}
147       	I   	Operational         	10020   	Execution error state                   	2021-03-04 20:49:29 	The program execution in task T_ROB_L has been stopped due to a spontaneous error.	{args: "2", "T_ROB_L"}
148       	I   	Operational         	10126   	Program stopped                         	2021-03-04 20:49:29 	The task T_ROB_L has stopped. The reason is that an error has occurred.	{args: "2", "T_ROB_L"}
149       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:49:29 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
150       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:49:29 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
151       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:49:47 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
152       	I   	Operational         	10021   	Execution error reset                   	2021-03-04 20:49:48 	The program execution in task T_ROB_L has left a spontaneous error state.	{args: "2", "T_ROB_L"}
153       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:49:48 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
154       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:49:48 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
155       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:49:48 	A regain movement has started.	{args: "0"}
156       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:49:48 	The regain movement is ready.	{args: "0"}
157       	I   	Operational         	10151   	Program started                         	2021-03-04 20:49:48 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
158       	I   	Operational         	10151   	Program started                         	2021-03-04 20:49:48 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
159       	W   	Motion              	50501   	Short movements                         	2021-03-04 20:50:08 	One or more consecutive move instructions resulted in movements close to zero length.Task: T_ROB_R.Program ref. /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
160       	W   	Program             	41776   	No more data available                  	2021-03-04 20:50:13 	Task: T_ROB_R.No more data available for camera HandCameraR.Program ref: /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "HandCameraR", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0", "SceneId", "ERR_CAM_NO_MORE_DATA"}
161       	W   	Program             	41776   	No more data available                  	2021-03-04 20:50:22 	Task: T_ROB_R.No more data available for camera HandCameraR.Program ref: /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "HandCameraR", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0", "SceneId", "ERR_CAM_NO_MORE_DATA"}
162       	I   	User                	80003   	YuMiLib: Focus check successful, using Pattern_ExtraLarge	2021-03-04 20:50:27 		{args: "YuMiLib: Focus check successful, using Pattern_ExtraLarge"}
163       	I   	User                	80003   	YuMiLib: Camera Calibration complete T_ROB_R	2021-03-04 20:51:47 	Reorientation Error 0.11 mmCalibCamera Max Error = 0.19 mmCalibCamera Mean Error = 0.09 mmPattern used = Pattern_ExtraLarge	{args: "YuMiLib: Camera Calibration complete T_ROB_R", "Reorientation Error 0.11 mm", "CalibCamera Max Error = 0.19 mm", "CalibCamera Mean Error = 0.09 mm", "Pattern used = Pattern_ExtraLarge"}
164       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:51:48 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
165       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:51:48 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
166       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:51:48 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
167       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:51:48 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
168       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:54:29 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
169       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:54:29 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
170       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:54:29 	A regain movement has started.	{args: "0"}
171       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:54:29 	The regain movement is ready.	{args: "0"}
172       	I   	Operational         	10151   	Program started                         	2021-03-04 20:54:29 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
173       	I   	Operational         	10151   	Program started                         	2021-03-04 20:54:29 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
174       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:54:30 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
175       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:54:30 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
176       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:54:31 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
177       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:54:31 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
178       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:54:35 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
179       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:54:35 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
180       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:54:35 	A regain movement has started.	{args: "0"}
181       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:54:35 	The regain movement is ready.	{args: "0"}
182       	I   	Operational         	10151   	Program started                         	2021-03-04 20:54:35 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
183       	I   	Operational         	10151   	Program started                         	2021-03-04 20:54:35 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
184       	E   	Process             	112755  	Hand not calibrated                     	2021-03-04 20:54:44 	Task: T_ROB_LHand_ L is not calibrated. Context:/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0	{args: "T_ROB_L", "L", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
185       	E   	Program             	40229   	Execution error                         	2021-03-04 20:54:44 	Task T_ROB_L: Unhandled error.	{args: "T_ROB_L", "55"}
186       	I   	Operational         	10020   	Execution error state                   	2021-03-04 20:54:44 	The program execution in task T_ROB_L has been stopped due to a spontaneous error.	{args: "2", "T_ROB_L"}
187       	I   	Operational         	10126   	Program stopped                         	2021-03-04 20:54:44 	The task T_ROB_L has stopped. The reason is that an error has occurred.	{args: "2", "T_ROB_L"}
188       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:54:45 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
189       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:54:45 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
190       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:54:56 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
191       	I   	Operational         	10021   	Execution error reset                   	2021-03-04 20:54:56 	The program execution in task T_ROB_L has left a spontaneous error state.	{args: "2", "T_ROB_L"}
192       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:54:56 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
193       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:54:56 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
194       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:54:56 	A regain movement has started.	{args: "0"}
195       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:54:56 	The regain movement is ready.	{args: "0"}
196       	I   	Operational         	10151   	Program started                         	2021-03-04 20:54:56 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
197       	I   	Operational         	10151   	Program started                         	2021-03-04 20:54:56 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
198       	W   	Motion              	50501   	Short movements                         	2021-03-04 20:54:57 	One or more consecutive move instructions resulted in movements close to zero length.Task: T_ROB_R.Program ref. /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
199       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:56:51 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
200       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:56:51 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
201       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:56:51 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
202       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:56:51 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
203       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:57:04 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
204       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:57:04 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
205       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:57:04 	A regain movement has started.	{args: "0"}
206       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:57:04 	The regain movement is ready.	{args: "0"}
207       	I   	Operational         	10151   	Program started                         	2021-03-04 20:57:04 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
208       	I   	Operational         	10151   	Program started                         	2021-03-04 20:57:04 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
209       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:57:08 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
210       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:57:08 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
211       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:57:08 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
212       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:57:08 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
213       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:57:30 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
214       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:57:30 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
215       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:57:31 	A regain movement has started.	{args: "0"}
216       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:57:31 	The regain movement is ready.	{args: "0"}
217       	I   	Operational         	10151   	Program started                         	2021-03-04 20:57:31 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
218       	I   	Operational         	10151   	Program started                         	2021-03-04 20:57:31 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
219       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:57:32 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
220       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:57:32 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
221       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:57:32 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
222       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:57:32 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
223       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:57:40 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
224       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:57:40 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
225       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:57:40 	A regain movement has started.	{args: "0"}
226       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:57:40 	The regain movement is ready.	{args: "0"}
227       	I   	Operational         	10151   	Program started                         	2021-03-04 20:57:40 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
228       	I   	Operational         	10151   	Program started                         	2021-03-04 20:57:40 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
229       	W   	Motion              	50501   	Short movements                         	2021-03-04 20:57:41 	One or more consecutive move instructions resulted in movements close to zero length.Task: T_ROB_R.Program ref. /YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0.	{args: "T_ROB_R", "/YuMiLibStartApp/StartYuMiLibProc/StartYuMiLibProc/0"}
230       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:58:17 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
231       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:58:17 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
232       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:58:17 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
233       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:58:17 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
234       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:58:22 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
235       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:58:22 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
236       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:58:22 	A regain movement has started.	{args: "0"}
237       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:58:22 	The regain movement is ready.	{args: "0"}
238       	I   	Operational         	10151   	Program started                         	2021-03-04 20:58:22 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
239       	I   	Operational         	10151   	Program started                         	2021-03-04 20:58:22 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
240       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:58:24 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
241       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:58:24 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
242       	I   	Operational         	10133   	Program stopped                         	2021-03-04 20:58:24 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
243       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 20:58:24 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
244       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:58:38 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
245       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 20:58:38 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
246       	I   	Operational         	10052   	Regain start                            	2021-03-04 20:58:38 	A regain movement has started.	{args: "0"}
247       	I   	Operational         	10053   	Regain ready                            	2021-03-04 20:58:38 	The regain movement is ready.	{args: "0"}
248       	I   	Operational         	10151   	Program started                         	2021-03-04 20:58:38 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
249       	I   	Operational         	10151   	Program started                         	2021-03-04 20:58:38 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
250       	I   	Operational         	10137   	Program stopped                         	2021-03-04 20:59:59 	The task T_ROB_R has stopped. The reason is that the task has reached a stop\AllMoveTask instruction.	{args: "1", "T_ROB_R"}
251       	I   	Operational         	10125   	Program stopped                         	2021-03-04 20:59:59 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred.	{args: "2", "T_ROB_L"}
252       	I   	Operational         	10157   	Program restarted                       	2021-03-04 21:01:58 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "2", "T_ROB_L"}
253       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:01:58 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
254       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:01:58 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
255       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:01:58 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
256       	I   	Operational         	10157   	Program restarted                       	2021-03-04 21:01:58 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "1", "T_ROB_R"}
257       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:01:58 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
258       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:01:58 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
259       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:01:58 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
260       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:01:58 	A regain movement has started.	{args: "0"}
261       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:01:58 	The regain movement is ready.	{args: "0"}
262       	I   	Operational         	10151   	Program started                         	2021-03-04 21:01:58 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
263       	I   	Operational         	10151   	Program started                         	2021-03-04 21:01:58 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
264       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:02:03 	The task T_ROB_R has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "1", "T_ROB_R"}
265       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:02:03 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
266       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:02:04 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
267       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:02:04 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
268       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:02:28 	The program pointer in task T_ROB_L has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_L", "StartYuMiLibProc", "Default User"}
269       	I   	Operational         	10149   	Program Pointer moved to routine        	2021-03-04 21:02:28 	The program pointer in task T_ROB_R has been moved to routine StartYuMiLibProc by Default User.	{args: "T_ROB_R", "StartYuMiLibProc", "Default User"}
270       	I   	Operational         	10052   	Regain start                            	2021-03-04 21:02:28 	A regain movement has started.	{args: "0"}
271       	I   	Operational         	10053   	Regain ready                            	2021-03-04 21:02:28 	The regain movement is ready.	{args: "0"}
272       	I   	Operational         	10151   	Program started                         	2021-03-04 21:02:28 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
273       	I   	Operational         	10151   	Program started                         	2021-03-04 21:02:28 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
274       	W   	Motion              	50204   	Motion supervision                      	2021-03-04 21:02:43 	Motion supervision triggered for axis 2 on mechanical unit ROB_L.	{args: "2", "ROB_L"}
275       	I   	Operational         	10024   	Collision triggered                     	2021-03-04 21:02:43 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
276       	W   	Motion              	50464   	A collision has occurred                	2021-03-04 21:02:54 	Task: T_ROB_L.A collision has occurred. This can be handled in a RAPID error handler. If it is not handled, the RAPID execution will stop./YuMiLibStartApp/StartYuMiLibProc/StartY.	{args: "T_ROB_L", "/YuMiLibStartApp/StartYuMiLibProc/StartY", "ERR_COLL_STOP"}
277       	I   	Operational         	10025   	Collision confirmed                     	2021-03-04 21:02:54 	The collision detection has been confirmed.	{args: }
278       	W   	Motion              	50204   	Motion supervision                      	2021-03-04 21:02:54 	Motion supervision triggered for axis 2 on mechanical unit ROB_L.	{args: "2", "ROB_L"}
279       	I   	Operational         	10024   	Collision triggered                     	2021-03-04 21:02:54 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
280       	W   	Motion              	50464   	A collision has occurred                	2021-03-04 21:03:06 	Task: T_ROB_L.A collision has occurred. This can be handled in a RAPID error handler. If it is not handled, the RAPID execution will stop./YuMiLibStartApp/StartYuMiLibProc/StartY.	{args: "T_ROB_L", "/YuMiLibStartApp/StartYuMiLibProc/StartY", "ERR_COLL_STOP"}
281       	I   	Operational         	10125   	Program stopped                         	2021-03-04 21:03:06 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB_R"}
282       	I   	Operational         	10137   	Program stopped                         	2021-03-04 21:03:06 	The task T_ROB_L has stopped. The reason is that the task has reached a stop\AllMoveTask instruction.	{args: "2", "T_ROB_L"}
283       	I   	Operational         	10157   	Program restarted                       	2021-03-04 21:03:17 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "2", "T_ROB_L"}
284       	I   	Operational         	10133   	Program stopped                         	2021-03-04 21:03:17 	The task T_ROB_L has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "2", "T_ROB_L"}
285       	I   	Operational         	10002   	Program pointer has been reset          	2021-03-04 21:03:17 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
